序号,服务时间,机构名称,联系电话,地址
3,"周三为接种日（法定节假日除外）
夏季：8:30-11:00，14:00-16:00
冬季：8:30-11:00，13:30-15:30",密云区第二人民医院,010-69036702,密云区太师屯镇永安街76号
4,"周三、周四为接种日（法定节假日除外）
夏季：8:00-11:00，14:00-16:30
冬季：8:00-11:00，13:30-16:00",鼓楼社区卫生服务中心,010-69041832,密云区鼓楼东大街甲6号
5,"周三、周四为接种日（法定节假日除外）
夏季：8:00-11:00，14:00-16:30
冬季：8:00-11:00，13:30-16:00",密云区妇幼保健院,010-69041325,密云区新南路56号
6,儿童疫苗周三、周四上午8:00-11:00                     成人免费收费疫苗周三下午1：00-3:00                   卡介苗周四下午1：30（提前电话预约）（法定节假日除外）,西田各庄镇社区卫生服务中心,010-61010161,密云区西田各庄镇西田各庄村
7,"周三、周四为接种日,卡介苗周三13：30-15：30（法定节假日除外）
冬、夏：8:00-11:00",十里堡社区卫生服务中心,010-89021018,密云区十里堡镇河漕村西200米
8,"周三为接种日（法定节假日除外）
夏季：8:00-11:00，13:30-15:30
冬季：8:00-11:00，13:30-15:30",河南寨社区卫生服务中心,010-61085905,密云区河南寨镇芦古庄村北
9,"周三为接种日（法定节假日除外）
冬、夏：8:30-10:30",东邵渠社区卫生服务中心,010-61061483,密云区东邵渠镇高各庄村
10,周三上午8：30-11：00、卡介苗周四上午8：30-10：00（法定节假日除外）,大城子社区卫生服务中心,010-61071502转852,密云区大城子镇大城子村
11,"周三为接种日（法定节假日除外）
冬、夏：8:10-11:00，13:30-15:30",巨各庄社区卫生服务中心,010-61032094,密云区巨各庄镇水峪村大队
12,"周三为接种日（法定节假日除外）
夏季：8:00-11:00，13:30-15:30
冬季：8:00-11:00，13:00-15:00",穆家峪社区卫生服务中心,010-61050086,密云区穆家峪镇南穆家峪村
13,"周三为接种日（法定节假日除外）
夏季：8:30-11:30
冬季：8:30-11:30",北庄社区卫生服务中心,010-81001884,密云区北庄镇北庄村
14,"周四为接种日（法定节假日除外）
冬、夏：8:30-11:00,13:00-15:30",新城子社区卫生服务中心,010-81023799,密云区新城子镇新城子村
15,"周三为接种日（法定节假日除外）
冬、夏：9:00-11:30",古北口社区卫生服务中心,010-81051074,密云区古北口镇古北口村
16,"周三为接种日（法定节假日除外）
冬、夏：8:30-11:00",高岭社区卫生服务中心,010-81084460,密云区高岭镇高岭村政府路9号
17,"周三为接种日（法定节假日除外）
冬、夏：8:30-11:00",不老屯社区卫生服务中心,010-81090037,密云区不老屯镇不老屯村
18,"周四为接种日（法定节假日除外）
冬、夏：8:00-11:00",冯家峪社区卫生服务中心,010-81060118,密云区冯家峪镇冯家峪村99号
19,"周四为接种日（法定节假日除外）
冬、夏：8:30-11:00",石城社区卫生服务中心,010-61025095,密云区石城镇石城村南石城
20,周三上午为接种日冬、夏：8:00-11:00、周四上午8:00-11:00成人和收费疫苗接种（法定节假日除外）,溪翁庄社区卫生服务中心,010-69016080,密云区溪翁庄镇溪翁庄村
21,周二上午8:00-11:00；周三、周四全天为接种日（法定节假日除外）冬、夏：8:00-11:00，14:00-16:00,果园社区卫生服务中心,010-69040596,密云区果园街道西门外大街8号
22,"周三为接种日上午8:00-11:00 下午14:00-16:00
卡介苗周四上午9:00-11:00
（法定节假日除外）",密云镇社区卫生服务中心,010-61099250,密云区密云镇李各庄村南
,,,,
